text,vader,textblob,bertmulti,mistral
"Un homme qui dort, tient en cercle autour de lui le fil des heures, l'ordre des annees et des mondes.",0.0,0.0,5,0.8
"Il les consulte d'instinct en s'eveillant et y lit en une seconde le point de la terre qu'il occupe, le temps qui s'est ecoule jusqu'a son reveil; mais leurs rangs peuvent se meler, se rompre.",0.0,0.0,4,0.65
"Que vers le matin apres quelque insomnie, le sommeil le prenne en train de lire, dans une posture trop differente de celle ou il dort habituellement, il suffit de son bras souleve pour arreter et faire reculer le soleil, et a la premiere minute de son reveil, il ne saura plus l'heure, il estimera qu'il vient a peine de se coucher.",0.0,0.0,4,0.6
"Que s'il s'assoupit dans une position encore plus deplacee et divergente, par exemple apres diner assis dans un fauteuil, alors le bouleversement sera complet dans les mondes desorbites, le fauteuil magique le fera voyager a toute vitesse dans le temps et dans l'espace, et au moment d'ouvrir les paupieres, il se croira couche quelques mois plus tot dans une autre contree.",0.0,0.0,3,0.95
"Mais il suffisait que, dans mon lit meme, mon sommeil fut profond et detendit entierement mon esprit; alors celui-ci lachait le plan du lieu ou je m'etais endormi, et quand je m'eveillais au milieu de la nuit, comme j'ignorais ou je me trouvais, je ne savais meme pas au premier instant qui j'etais; j'avais seulement dans sa simplicite premiere, le sentiment de l'existence comme il peut fremir au fond d'un animal: j'etais plus denue que l'homme des cavernes; mais alors le souvenir--non encore du lieu ou j'etais, mais de quelques-uns de ceux que j'avais habites et ou j'aurais pu etre--venait a moi comme un secours d'en haut pour me tirer du neant d'ou je n'aurais pu sortir tout seul; je passais en une seconde par-dessus des siecles de civilisation, et l'image confusement entrevue de lampes a petrole, puis de chemises a col rabattu, recomposaient peu a peu les traits originaux de mon moi.",-0.2023,0.0,2,0.6
"Peut-etre l'immobilite des choses autour de nous leur est-elle imposee par notre certitude que ce sont elles et non pas d'autres, par l'immobilite de notre pensee en face d'elles.",0.0,0.0,2,0.5
"Toujours est-il que, quand je me reveillais ainsi, mon esprit s'agitant pour chercher, sans y reussir, a savoir ou j'etais, tout tournait autour de moi dans l'obscurite, les choses, les pays, les annees.",-0.128,0.0,5,0.4
"Mon corps, trop engourdi pour remuer, cherchait, d'apres la forme de sa fatigue, a reperer la position de ses membres pour en induire la direction du mur, la place des meubles, pour reconstruire et pour nommer la demeure ou il se trouvait.",-0.25,0.0,3,0.6
"Sa memoire, la memoire de ses cotes, de ses genoux, de ses epaules, lui presentait successivement plusieurs des chambres ou il avait dormi, tandis qu'autour de lui les murs invisibles, changeant de place selon la forme de la piece imaginee, tourbillonnaient dans les tenebres.",0.0,0.0,4,0.2
"Et avant meme que ma pensee, qui hesitait au seuil des temps et des formes, eut identifie le logis en rapprochant les circonstances, lui,--mon corps,--se rappelait pour chacun le genre du lit, la place des portes, la prise de jour des fenetres, l'existence d'un couloir, avec la pensee que j'avais en m'y endormant et que je retrouvais au reveil.",0.0,0.0,5,0.8
"Mon cote ankylose, cherchant a deviner son orientation, s'imaginait, par exemple, allonge face au mur dans un grand lit a baldaquin et aussitot je me disais: Tiens, j'ai fini par m'endormir quoique maman ne soit pas venue me dire bonsoir, j'etais a la campagne chez mon grand-pere, mort depuis bien des annees; et mon corps, le cote sur lequel je reposais, gardiens fideles d'un passe que mon esprit n'aurait jamais du oublier, me rappelaient la flamme de la veilleuse de verre de Boheme, en forme d'urne, suspendue au plafond par des chainettes, la cheminee en marbre de Sienne, dans ma chambre a coucher de Combray, chez mes grands-parents, en des jours lointains qu'en ce moment je me figurais actuels sans me les representer exactement et que je reverrais mieux tout a l'heure quand je serais tout a fait eveille.",-0.25,0.5,2,0.8
"Puis renaissait le souvenir d'une nouvelle attitude; le mur filait dans une autre direction: j'etais dans ma chambre chez Mme de Saint-Loup, a la campagne; mon Dieu!",0.0,0.0,2,0.8
"Il est au moins dix heures, on doit avoir fini de diner!",0.0,0.0,1,0.6
"J'aurai trop prolonge la sieste que je fais tous les soirs en rentrant de ma promenade avec Mme de Saint-Loup, avant d'endosser mon habit.",0.0,0.0,2,0.5
"Car bien des annees ont passe depuis Combray, ou, dans nos retours les plus tardifs, c'etait les reflets rouges du couchant que je voyais sur le vitrage de ma fenetre.",0.0,0.0,3,0.8
"C'est un autre genre de vie qu'on mene a Tansonville, chez Mme de Saint-Loup, un autre genre de plaisir que je trouve a ne sortir qu'a la nuit, a suivre au clair de lune ces chemins ou je jouais jadis au soleil; et la chambre ou je me serai endormi au lieu de m'habiller pour le diner, de loin je l'apercois, quand nous rentrons, traversee par les feux de la lampe, seul phare dans la nuit.",0.0,0.0,4,0.9
"Ces evocations tournoyantes et confuses ne duraient jamais que quelques secondes; souvent, ma breve incertitude du lieu ou je me trouvais ne distinguait pas mieux les unes des autres les diverses suppositions dont elle etait faite, que nous n'isolons, en voyant un cheval courir, les positions successives que nous montre le kinetoscope.",-0.3182,0.0,2,0.5
"Mais j'avais revu tantot l'une, tantot l'autre, des chambres que j'avais habitees dans ma vie, et je finissais par me les rappeler toutes dans les longues reveries qui suivaient mon reveil; chambres d'hiver ou quand on est couche, on se blottit la tete dans un nid qu'on se tresse avec les choses les plus disparates: un coin de l'oreiller, le haut des couvertures, un bout de chale, le bord du lit, et un numero des Debats roses, qu'on finit par cimenter ensemble selon la technique des oiseaux en s'y appuyant indefiniment; ou, par un temps glacial le plaisir qu'on goute est de se sentir separe du dehors (comme l'hirondelle de mer qui a son nid au fond d'un souterrain dans la chaleur de la terre), et ou, le feu etant entretenu toute la nuit dans la cheminee, on dort dans un grand manteau d'air chaud et fumeux, traverse des lueurs des tisons qui se rallument, sorte d'impalpable alcove, de chaude caverne creusee au sein de la chambre meme, zone ardente et mobile en ses contours thermiques, aeree de souffles qui nous rafraichissent la figure et viennent des angles, des parties voisines de la fenetre ou eloignees du foyer et qui se sont refroidies;--chambres d'ete ou l'on aime etre uni a la nuit tiede, ou le clair de lune appuye aux volets entr'ouverts, jette jusqu'au pied du lit son echelle enchantee, ou on dort presque en plein air, comme la mesange balancee par la brise a la pointe d'un rayon--; parfois la chambre Louis XVI, si gaie que meme le premier soir je n'y avais pas ete trop malheureux et ou les colonnettes qui soutenaient legerement le plafond s'ecartaient avec tant de grace pour montrer et reserver la place du lit; parfois au contraire celle, petite et si elevee de plafond, creusee en forme de pyramide dans la hauteur de deux etages et partiellement revetue d'acajou, ou des la premiere seconde j'avais ete intoxique moralement par l'odeur inconnue du vetiver, convaincu de l'hostilite des rideaux violets et de l'insolente indifference de la pendule qui jacassait tout haut comme si je n'eusse pas ete la;--ou une etrange et impitoyable glace a pieds quadrangulaires, barrant obliquement un des angles de la piece, se creusait a vif dans la douce plenitude de mon champ visuel accoutume un emplacement qui n'y etait pas prevu;--ou ma pensee, s'efforcant pendant des heures de se disloquer, de s'etirer en hauteur pour prendre exactement la forme de la chambre et arriver a remplir jusqu'en haut son gigantesque entonnoir, avait souffert bien de dures nuits, tandis que j'etais etendu dans mon lit, les yeux leves, l'oreille anxieuse, la narine retive, le cur battant: jusqu'a ce que l'habitude eut change la couleur des rideaux, fait taire la pendule, enseigne la pitie a la glace oblique et cruelle, dissimule, sinon chasse completement, l'odeur du vetiver et notablement diminue la hauteur apparente du plafond.",0.9153,0.5,3,0.8
"L'habitude! amenageuse habile mais bien lente et qui commence par laisser souffrir notre esprit pendant des semaines dans une installation provisoire; mais que malgre tout il est bien heureux de trouver, car sans l'habitude et reduit a ses seuls moyens il serait impuissant a nous rendre un logis habitable.",-0.2003,0.0,3,0.65
"Certes, j'etais bien eveille maintenant, mon corps avait vire une derniere fois et le bon ange de la certitude avait tout arrete autour de moi, m'avait couche sous mes couvertures, dans ma chambre, et avait mis approximativement a leur place dans l'obscurite ma commode, mon bureau, ma cheminee, la fenetre sur la rue et les deux portes.",-0.128,0.0,5,0.8
"Mais j'avais beau savoir que je n'etais pas dans les demeures dont l'ignorance du reveil m'avait en un instant sinon presente l'image distincte, du moins fait croire la presence possible, le branle etait donne a ma memoire; generalement je ne cherchais pas a me rendormir tout de suite; je passais la plus grande partie de la nuit a me rappeler notre vie d'autrefois, a Combray chez ma grand'tante, a Balbec, a Paris, a Doncieres, a Venise, ailleurs encore, a me rappeler les lieux, les personnes que j'y avais connues, ce que j'avais vu d'elles, ce qu'on m'en avait raconte.",-0.128,0.1666666666666666,3,0.7
"A Combray, tous les jours des la fin de l'apres-midi, longtemps avant le moment ou il faudrait me mettre au lit et rester, sans dormir, loin de ma mere et de ma grand'mere, ma chambre a coucher redevenait le point fixe et douloureux de mes preoccupations.",0.0,-0.1666666666666666,5,-0.8
"On avait bien invente, pour me distraire les soirs ou on me trouvait l'air trop malheureux, de me donner une lanterne magique, dont, en attendant l'heure du diner, on coiffait ma lampe; et, a l'instar des premiers architectes et maitres verriers de l'age gothique, elle substituait a l'opacite des murs d'impalpables irisations, de surnaturelles apparitions multicolores, ou des legendes etaient depeintes comme dans un vitrail vacillant et momentane.",0.0,0.2,5,0.9
"Mais ma tristesse n'en etait qu'accrue, parce que rien que le changement d'eclairage detruisait l'habitude que j'avais de ma chambre et grace a quoi, sauf le supplice du coucher, elle m'etait devenue supportable.",0.4215,0.0,3,0.4
"Maintenant je ne la reconnaissais plus et j'y etais inquiet, comme dans une chambre d'hotel ou de chalet, ou je fusse arrive pour la premiere fois en descendant de chemin de fer.",0.0,0.0,2,0.5
"Au pas saccade de son cheval, Golo, plein d'un affreux dessein, sortait de la petite foret triangulaire qui veloutait d'un vert sombre la pente d'une colline, et s'avancait en tressautant vers le chateau de la pauvre Genevieve de Brabant.",0.0,0.0,2,0.6
Ce chateau etait coupe selon une ligne courbe qui n'etait autre que la limite d'un des ovales de verre menages dans le chassis qu'on glissait entre les coulisses de la lanterne.,0.0,0.0,2,0.6
Ce n'etait qu'un pan de chateau et il avait devant lui une lande ou revait Genevieve qui portait une ceinture bleue.,0.0,0.0,1,0.6
"Le chateau et la lande etaient jaunes et je n'avais pas attendu de les voir pour connaitre leur couleur car, avant les verres du chassis, la sonorite mordoree du nom de Brabant me l'avait montree avec evidence.",0.0,0.0,2,0.8
"Golo s'arretait un instant pour ecouter avec tristesse le boniment lu a haute voix par ma grand'tante et qu'il avait l'air de comprendre parfaitement, conformant son attitude avec une docilite qui n'excluait pas une certaine majeste, aux indications du texte; puis il s'eloignait du meme pas saccade.",0.0,0.25,2,0.6
Et rien ne pouvait arreter sa lente chevauchee.,0.0,0.0,5,0.5
"Si on bougeait la lanterne, je distinguais le cheval de Golo qui continuait a s'avancer sur les rideaux de la fenetre, se bombant de leurs plis, descendant dans leurs fentes.",0.0,0.0,2,0.6
"Le corps de Golo lui-meme, d'une essence aussi surnaturelle que celui de sa monture, s'arrangeait de tout obstacle materiel, de tout objet genant qu'il rencontrait en le prenant comme ossature et en se le rendant interieur, fut-ce le bouton de la porte sur lequel s'adaptait aussitot et surnageait invinciblement sa robe rouge ou sa figure pale toujours aussi noble et aussi melancolique, mais qui ne laissait paraitre aucun trouble de cette transvertebration.",-0.4939,0.0633333333333333,1,0.6
Certes je leur trouvais du charme a ces brillantes projections qui semblaient emaner d'un passe merovingien et promenaient autour de moi des reflets d'histoire si anciens.,0.0,0.0,3,0.9
Mais je ne peux dire quel malaise me causait pourtant cette intrusion du mystere et de la beaute dans une chambre que j'avais fini par remplir de mon moi au point de ne pas faire plus attention a elle qu'a lui-meme.,-0.4588,0.0,2,0.8
"L'influence anesthesiante de l'habitude ayant cesse, je me mettais a penser, a sentir, choses si tristes.",0.0,0.0,2,-0.9
"Ce bouton de la porte de ma chambre, qui differait pour moi de tous les autres boutons de porte du monde en ceci qu'il semblait ouvrir tout seul, sans que j'eusse besoin de le tourner, tant le maniement m'en etait devenu inconscient, le voila qui servait maintenant de corps astral a Golo.",-0.128,0.0,5,0.65
"Et des qu'on sonnait le diner, j'avais hate de courir a la salle a manger, ou la grosse lampe de la suspension, ignorante de Golo et de Barbe-Bleue, et qui connaissait mes parents et le buf a la casserole, donnait sa lumiere de tous les soirs; et de tomber dans les bras de maman que les malheurs de Genevieve de Brabant me rendaient plus chere, tandis que les crimes de Golo me faisaient examiner ma propre conscience avec plus de scrupules.",-0.5719,-0.8,5,0.5
"Apres le diner, helas, j'etais bientot oblige de quitter maman qui restait a causer avec les autres, au jardin s'il faisait beau, dans le petit salon ou tout le monde se retirait s'il faisait mauvais.",-0.128,0.0,2,0.5
"Tout le monde, sauf ma grand'mere qui trouvait que c'est une pitie de rester enferme a la campagne et qui avait d'incessantes discussions avec mon pere, les jours de trop grande pluie, parce qu'il m'envoyait lire dans ma chambre au lieu de rester dehors.",-0.128,0.0,3,0.5
"Ce n'est pas comme cela que vous le rendrez robuste et energique, disait-elle tristement, surtout ce petit qui a tant besoin de prendre des forces et de la volonte.",0.0,0.0,5,-0.8
"Mon pere haussait les epaules et il examinait le barometre, car il aimait la meteorologie, pendant que ma mere, evitant de faire du bruit pour ne pas le troubler, le regardait avec un respect attendri, mais pas trop fixement pour ne pas chercher a percer le mystere de ses superiorites.",0.1779,-0.5,3,0.8
"Mais ma grand'mere, elle, par tous les temps, meme quand la pluie faisait rage et que Francoise avait precipitamment rentre les precieux fauteuils d'osier de peur qu'ils ne fussent mouilles, on la voyait dans le jardin vide et fouette par l'averse, relevant ses meches desordonnees et grises pour que son front s'imbibat mieux de la salubrite du vent et de la pluie.",-0.5574,0.1333333333333333,3,0.8
"Elle disait: Enfin, on respire! et parcourait les allees detrempees,--trop symetriquement alignees a son gre par le nouveau jardinier depourvu du sentiment de la nature et auquel mon pere avait demande depuis le matin si le temps s'arrangerait,--de son petit pas enthousiaste et saccade, regle sur les mouvements divers qu'excitaient dans son ame l'ivresse de l'orage, la puissance de l'hygiene, la stupidite de mon education et la symetrie des jardins, plutot que sur le desir inconnu d'elle d'eviter a sa jupe prune les taches de boue sous lesquelles elle disparaissait jusqu'a une hauteur qui etait toujours pour sa femme de chambre un desespoir et un probleme.",0.0,0.0,2,0.35
"Quand ces tours de jardin de ma grand'mere avaient lieu apres diner, une chose avait le pouvoir de la faire rentrer: c'etait, a un des moments ou la revolution de sa promenade la ramenait periodiquement, comme un insecte, en face des lumieres du petit salon ou les liqueurs etaient servies sur la table a jeu,--si ma grand'tante lui criait: Bathilde! viens donc empecher ton mari de boire du cognac!",0.0,0.0078125,5,0.5
"Pour la taquiner, en effet (elle avait apporte dans la famille de mon pere un esprit si different que tout le monde la plaisantait et la tourmentait), comme les liqueurs etaient defendues a mon grand-pere, ma grand'tante lui en faisait boire quelques gouttes.",-0.128,0.25,4,0.5
"Ma pauvre grand'mere entrait, priait ardemment son mari de ne pas gouter au cognac; il se fachait, buvait tout de meme sa gorgee, et ma grand'mere repartait, triste, decouragee, souriante pourtant, car elle etait si humble de cur et si douce que sa tendresse pour les autres et le peu de cas qu'elle faisait de sa propre personne et de ses souffrances, se conciliaient dans son regard en un sourire ou, contrairement a ce qu'on voit dans le visage de beaucoup d'humains, il n'y avait d'ironie que pour elle-meme, et pour nous tous comme un baiser de ses yeux qui ne pouvaient voir ceux qu'elle cherissait sans les caresser passionnement du regard.",-0.128,-0.04,2,0.95
"Ce supplice que lui infligeait ma grand'tante, le spectacle des vaines prieres de ma grand'mere et de sa faiblesse, vaincue d'avance, essayant inutilement d'oter a mon grand-pere le verre a liqueur, c'etait de ces choses a la vue desquelles on s'habitue plus tard jusqu'a les considerer en riant et a prendre le parti du persecuteur assez resolument et gaiement pour se persuader a soi-meme qu'il ne s'agit pas de persecution; elles me causaient alors une telle horreur, que j'aurais aime battre ma grand'tante.",-0.5423,0.25,5,-0.95
"Mais des que j'entendais: Bathilde, viens donc empecher ton mari de boire du cognac! deja homme par la lachete, je faisais ce que nous faisons tous, une fois que nous sommes grands, quand il y a devant nous des souffrances et des injustices: je ne voulais pas les voir; je montais sangloter tout en haut de la maison a cote de la salle d'etudes, sous les toits, dans une petite piece sentant l'iris, et que parfumait aussi un cassis sauvage pousse au dehors entre les pierres de la muraille et qui passait une branche de fleurs par la fenetre entr'ouverte.",-0.2003,0.0,5,0.75
"Destinee a un usage plus special et plus vulgaire, cette piece, d'ou l'on voyait pendant le jour jusqu'au donjon de Roussainville-le-Pin, servit longtemps de refuge pour moi, sans doute parce qu'elle etait la seule qu'il me fut permis de fermer a clef, a toutes celles de mes occupations qui reclamaient une inviolable solitude: la lecture, la reverie, les larmes et la volupte.",0.4019,0.3571428571428571,4,0.95
"Helas! je ne savais pas que, bien plus tristement que les petits ecarts de regime de son mari, mon manque de volonte, ma sante delicate, l'incertitude qu'ils projetaient sur mon avenir, preoccupaient ma grand'mere, au cours de ces deambulations incessantes, de l'apres-midi et du soir, ou on voyait passer et repasser, obliquement leve vers le ciel, son beau visage aux joues brunes et sillonnees, devenues au retour de l'age presque mauves comme les labours a l'automne, barrees, si elle sortait, par une voilette a demi relevee, et sur lesquelles, amene la par le froid ou quelque triste pensee, etait toujours en train de secher un pleur involontaire.",0.126,-0.0499999999999999,2,-0.95
"Ma seule consolation, quand je montais me coucher, etait que maman viendrait m'embrasser quand je serais dans mon lit.",0.0,0.0,4,0.8
"Mais ce bonsoir durait si peu de temps, elle redescendait si vite, que le moment ou je l'entendais monter, puis ou passait dans le couloir a double porte le bruit leger de sa robe de jardin en mousseline bleue, a laquelle pendaient de petits cordons de paille tressee, etait pour moi un moment douloureux.",0.0,0.0,2,-0.8
"Il annoncait celui qui allait le suivre, ou elle m'aurait quitte, ou elle serait redescendue.",0.0,0.0,2,0.5
"De sorte que ce bonsoir que j'aimais tant, j'en arrivais a souhaiter qu'il vint le plus tard possible, a ce que se prolongeat le temps de repit ou maman n'etait pas encore venue.",-0.5423,0.0,4,0.6
"Quelquefois quand, apres m'avoir embrasse, elle ouvrait la porte pour partir, je voulais la rappeler, lui dire embrasse-moi une fois encore, mais je savais qu'aussitot elle aurait son visage fache, car la concession qu'elle faisait a ma tristesse et a mon agitation en montant m'embrasser, en m'apportant ce baiser de paix, agacait mon pere qui trouvait ces rites absurdes, et elle eut voulu tacher de m'en faire perdre le besoin, l'habitude, bien loin de me laisser prendre celle de lui demander, quand elle etait deja sur le pas de la porte, un baiser de plus.",-0.6124,0.0,2,0.5
"Or la voir fachee detruisait tout le calme qu'elle m'avait apporte un instant avant, quand elle avait penche vers mon lit sa figure aimante, et me l'avait tendue comme une hostie pour une communion de paix ou mes levres puiseraient sa presence reelle et le pouvoir de m'endormir.",-0.128,0.0,2,0.95
"Mais ces soirs-la, ou maman en somme restait si peu de temps dans ma chambre, etaient doux encore en comparaison de ceux ou il y avait du monde a diner et ou, a cause de cela, elle ne montait pas me dire bonsoir.",-0.4588,0.0,3,0.5
"Le monde se bornait habituellement a M. Swann, qui, en dehors de quelques etrangers de passage, etait a peu pres la seule personne qui vint chez nous a Combray, quelquefois pour diner en voisin (plus rarement depuis qu'il avait fait ce mauvais mariage, parce que mes parents ne voulaient pas recevoir sa femme), quelquefois apres le diner, a l'improviste.",0.0,0.0,4,0.5
"Les soirs ou, assis devant la maison sous le grand marronnier, autour de la table de fer, nous entendions au bout du jardin, non pas le grelot profus et criard qui arrosait, qui etourdissait au passage de son bruit ferrugineux, intarissable et glace, toute personne de la maison qui le declenchait en entrant sans sonner, mais le double tintement timide, ovale et dore de la clochette pour les etrangers, tout le monde aussitot se demandait: Une visite, qui cela peut-il etre?",0.3612,0.25,2,0.7
"mais on savait bien que cela ne pouvait etre que M. Swann; ma grand'tante parlant a haute voix, pour precher d'exemple, sur un ton qu'elle s'efforcait de rendre naturel, disait de ne pas chuchoter ainsi; que rien n'est plus desobligeant pour une personne qui arrive et a qui cela fait croire qu'on est en train de dire des choses qu'elle ne doit pas entendre; et on envoyait en eclaireur ma grand'mere, toujours heureuse d'avoir un pretexte pour faire un tour de jardin de plus, et qui en profitait pour arracher subrepticement au passage quelques tuteurs de rosiers afin de rendre aux roses un peu de naturel, comme une mere qui, pour les faire bouffer, passe la main dans les cheveux de son fils que le coiffeur a trop aplatis.",-0.4588,0.0333333333333333,2,0.75
"Nous restions tous suspendus aux nouvelles que ma grand'mere allait nous apporter de l'ennemi, comme si on eut pu hesiter entre un grand nombre possible d'assaillants, et bientot apres mon grand-pere disait: Je reconnais la voix de Swann.",0.2263,0.125,1,0.65
"On ne le reconnaissait en effet qu'a la voix, on distinguait mal son visage au nez busque, aux yeux verts, sous un haut front entoure de cheveux blonds presque roux, coiffes a la Bressant, parce que nous gardions le moins de lumiere possible au jardin pour ne pas attirer les moustiques et j'allais, sans en avoir l'air, dire qu'on apportat les sirops; ma grand'mere attachait beaucoup d'importance, trouvant cela plus aimable, a ce qu'ils n'eussent pas l'air de figurer d'une facon exceptionnelle, et pour les visites seulement.",-0.4588,0.0,2,0.5
"M. Swann, quoique beaucoup plus jeune que lui, etait tres lie avec mon grand-pere qui avait ete un des meilleurs amis de son pere, homme excellent mais singulier, chez qui, parait-il, un rien suffisait parfois pour interrompre les elans du cur, changer le cours de la pensee.",0.5719,1.0,4,0.65
"J'entendais plusieurs fois par an mon grand-pere raconter a table des anecdotes toujours les memes sur l'attitude qu'avait eue M. Swann le pere, a la mort de sa femme qu'il avait veillee jour et nuit.",0.0,0.0,5,0.6
"Mon grand-pere qui ne l'avait pas vu depuis longtemps etait accouru aupres de lui dans la propriete que les Swann possedaient aux environs de Combray, et avait reussi, pour qu'il n'assistat pas a la mise en biere, a lui faire quitter un moment, tout en pleurs, la chambre mortuaire.",-0.128,0.0,5,-0.95
Ils firent quelques pas dans le parc ou il y avait un peu de soleil.,0.0,0.0,3,0.6
"Tout d'un coup, M. Swann prenant mon grand-pere par le bras, s'etait ecrie: Ah! mon vieil ami, quel bonheur de se promener ensemble par ce beau temps.",-0.2003,0.0,5,1.0
"Vous ne trouvez pas ca joli tous ces arbres, ces aubepines et mon etang dont vous ne m'avez jamais felicite?",0.0,0.0,1,0.6
Vous avez l'air comme un bonnet de nuit.,0.0,0.0,5,0.3
Sentez-vous ce petit vent?,0.0,0.0,1,0.6
"Ah! on a beau dire, la vie a du bon tout de meme, mon cher Amedee!",-0.6229,0.0,5,0.95
"Brusquement le souvenir de sa femme morte lui revint, et trouvant sans doute trop complique de chercher comment il avait pu a un pareil moment se laisser aller a un mouvement de joie, il se contenta, par un geste qui lui etait familier chaque fois qu'une question ardue se presentait a son esprit, de passer la main sur son front, d'essuyer ses yeux et les verres de son lorgnon.",-0.2732,0.1666666666666666,5,0.3
"Il ne put pourtant pas se consoler de la mort de sa femme, mais pendant les deux annees qu'il lui survecut, il disait a mon grand-pere: C'est drole, je pense tres souvent a ma pauvre femme, mais je ne peux y penser beaucoup a la fois.",0.0,0.0,2,0.4
"Souvent, mais peu a la fois, comme le pauvre pere Swann, etait devenu une des phrases favorites de mon grand-pere qui la prononcait a propos des choses les plus differentes.",0.4215,0.0,3,0.5
